 1   total words: 431,  unique words: 212
 2   total words: 445,  unique words: 278
 3   total words: 566,  unique words: 209
 4   total words: 1053,  unique words: 394
 5   total words: 546,  unique words: 300
 6   total words: 372,  unique words: 245
 7   total words: 429,  unique words: 227
 8   total words: 591,  unique words: 370
 9   total words: 462,  unique words: 262
 10  total words: 635,  unique words: 339
 11  total words: 454,  unique words: 305
 12  total words: 429,  unique words: 202
 13  total words: 377,  unique words: 182
 14  total words: 384,  unique words: 231
 15  total words: 326,  unique words: 231
 16  total words: 539,  unique words: 341
 17  total words: 476,  unique words: 240
 18  total words: 468,  unique words: 185
 19  total words: 477,  unique words: 281
 20  total words: 616,  unique words: 394
 21  total words: 365,  unique words: 235
 22  total words: 351,  unique words: 204
 23  total words: 199,  unique words: 151
 24  total words: 431,  unique words: 217
 25  total words: 318,  unique words: 220
 26  total words: 852,  unique words: 544
 27  total words: 316,  unique words: 218
 28  total words: 429,  unique words: 273
 29  total words: 586,  unique words: 283
 30  total words: 492,  unique words: 313
 31  total words: 350,  unique words: 213
 32  total words: 378,  unique words: 258
 33  total words: 519,  unique words: 330
 34  total words: 478,  unique words: 276
 35  total words: 398,  unique words: 200
 36  total words: 748,  unique words: 348
 37  total words: 454,  unique words: 238
 38  total words: 547,  unique words: 347
 39  total words: 397,  unique words: 252
 40  total words: 702,  unique words: 414
 41  total words: 845,  unique words: 453
 42  total words: 292,  unique words: 190
 43  total words: 359,  unique words: 255
 44  total words: 408,  unique words: 209
 45  total words: 550,  unique words: 167
 46  total words: 498,  unique words: 313
 47  total words: 535,  unique words: 369
 48  total words: 473,  unique words: 289
 49  total words: 472,  unique words: 198
 50  total words: 617,  unique words: 404
 51  total words: 566,  unique words: 348
 52  total words: 646,  unique words: 372
Processed all songs from the file: ../Tekstowo/songs/tekstowo_polski_hip_hop_klasyki_10-03-23.json
se             : 7
bije           : 7
flow           : 7
sie            : 7
polska         : 7
przyjaciele    : 7
tacy           : 7
stanie         : 7
całe           : 7
pomyśleć       : 7
wiatr          : 7
najlepiej      : 7
chcecie        : 7
laj            : 6
mimo           : 6
najlepsze      : 6
daleko         : 6
jedną          : 6
c              : 6
jo             : 6
chciałem       : 6
naszą          : 6
chwilę         : 6
ekipa          : 6
kilku          : 6
wolę           : 6
rano           : 6
kawę           : 6
drodze         : 6
byłem          : 6
trzymam        : 6
miałem         : 6
deszcz         : 6
niczego        : 6
żyję           : 6
strach         : 6
mać            : 6
nadszedł       : 6
myśleć         : 6
moi            : 6
mów            : 6
numer          : 6
zapamiętaj     : 6
ha             : 6
drugiej        : 6
równy          : 6
dziwka         : 6
powiem         : 6
wy             : 6
dobie          : 6
zrobię         : 6
niestety       : 6
posłuchaj      : 6
słuchaj        : 6
długi          : 6
sprawy         : 6
sny            : 6
dawaj          : 6
praca          : 6
boli           : 6
pierdoli       : 6
en             : 6
chwili         : 6
jedni          : 6
prostu         : 6
mojej          : 6
luz            : 6
boku           : 6
myślą          : 6
biorą          : 6
dobra          : 6
sen            : 6
kraść          : 6
ucieka         : 6
można          : 6
jakoś          : 6
przodu         : 6
czasie         : 6
chwil          : 6
pieniądz       : 6
fajna          : 6
upalna         : 6
l              : 6
spojrzenie     : 6
smoke          : 6
x2             : 6
the            : 6
zasnąć         : 6
czyli          : 6
ziom           : 6
choćby         : 6
imię           : 6
musi           : 6
usta           : 6
żyjesz         : 6
świadczy       : 6
pracy          : 6
łez            : 6
zimne          : 6
zimna          : 6
biorę          : 6
wtem           : 6
lubisz         : 6
wożę           : 6
normalne       : 6
karol          : 6
inny           : 6
wolno          : 6
gardle         : 6
polsce         : 6
znaleźć        : 6
chore          : 6
powiedziałeś   : 6
kobiety        : 6
pewny          : 5
powiedział     : 5
zobacz         : 5
słońca         : 5
nadal          : 5
niebo          : 5
płyną          : 5
idziemy        : 5
leci           : 5
szoku          : 5
czarną         : 5
dał            : 5
dnia           : 5
taka           : 5
bardziej       : 5
kielc          : 5
kielcach       : 5
wystarczy      : 5
dom            : 5
szczerze       : 5
fakt           : 5
dala           : 5
zaraz          : 5
dłużej         : 5
każdej         : 5
kładę          : 5
musisz         : 5
nasza          : 5
znajdziecie    : 5
czymś          : 5
swych          : 5
proste         : 5
swym           : 5
drogą          : 5
nami           : 5
bit            : 5
mikrofon       : 5
spoko          : 5
zielone        : 5
dobre          : 5
dawno          : 5
jako           : 5
takich         : 5
swoją          : 5
nowa           : 5
chcemy         : 5
uczy           : 5
bóg            : 5
końca          : 5
razie          : 5
mówić          : 5
spokojnie      : 5
wali           : 5
razy           : 5
czasami        : 5
byś            : 5
macie          : 5
cztery         : 5
komplecie      : 5
głową          : 5
ślad           : 5
prowadzi       : 5
łdz            : 5
nocne          : 5
zapomnieć      : 5
moment         : 5
kolejna        : 5
ważne          : 5
sercu          : 5
bądź           : 5
jebać          : 5
skurwysyn      : 5
kolejne        : 5
gdyby          : 5
miało          : 5
jutra          : 5
mówiąc         : 5
pohybel        : 5
patrz          : 5
nowe           : 5
myśl           : 5
całą           : 5
szkoda         : 5
zgasły         : 5
razu           : 5
czasy          : 5
ryj            : 5
pięści         : 5
milionów       : 5
pamiętasz      : 5
dj             : 5
polsko         : 5
trzy           : 5
patrzy         : 5
cóż            : 5
drin           : 5
panowie        : 5
dotknąć        : 5
spraw          : 5
y              : 5
łatwo          : 5
obchodzi       : 5
chciałbym      : 5
elo            : 5
mogą           : 5
chłopak        : 5
codziennie     : 5
pomóż          : 5
fruzie         : 5
bycie          : 5
beat           : 5
that           : 5
will           : 5
not            : 5
denied         : 5
głębi          : 4
kocha          : 4
będziemy       : 4
mamy           : 4
ofiary         : 4
psy            : 4
wydaje         : 4
lata           : 4
kochać         : 4
rzeka          : 4
samym          : 4
zależy         : 4
należy         : 4
którym         : 4
niejeden       : 4
stał           : 4
dole           : 4
nadzieję       : 4
komu           : 4
gadać          : 4
wziąć          : 4
stres          : 4
mych           : 4
siedzę         : 4
byle           : 4
br             : 4
mym            : 4
dniem          : 4
pan            : 4
wynik          : 4
zostanie       : 4
dookoła        : 4
nieważne       : 4
jednym         : 4
wam            : 4
takiej         : 4
polskiego      : 4
człowiekiem    : 4
myślałem       : 4
ulica          : 4
płynie         : 4
powiedzenia    : 4
wiedzieć       : 4
pieniądze      : 4
dziwne         : 4
mowa           : 4
prawdę         : 4
kraju          : 4
rytm           : 4
r              : 4
t              : 4
dym            : 4
kim            : 4
jazda          : 4
wrzuć          : 4
rodzina        : 4
pierdolę       : 4
uświadom       : 4
rany           : 4
dna            : 4
czyny          : 4
cios           : 4
roku           : 4
uczę           : 4
lekko          : 4
ładnie         : 4
