 1   total words: 319,  unique words: 126
 2   total words: 409,  unique words: 274
 3   total words: 360,  unique words: 184
 4   total words: 455,  unique words: 207
 5   total words: 450,  unique words: 239
 6   total words: 349,  unique words: 138
 7   total words: 410,  unique words: 205
 8   total words: 301,  unique words: 167
 9   total words: 708,  unique words: 461
 10  total words: 495,  unique words: 281
 11  total words: 423,  unique words: 214
 12  total words: 283,  unique words: 125
 13  total words: 409,  unique words: 196
 14  total words: 234,  unique words: 92
 15  total words: 454,  unique words: 216
 16  total words: 424,  unique words: 159
 17  total words: 381,  unique words: 191
 18  total words: 762,  unique words: 402
 19  total words: 246,  unique words: 142
 20  total words: 506,  unique words: 215
 21  total words: 588,  unique words: 358
 22  total words: 276,  unique words: 134
 23  total words: 384,  unique words: 224
 24  total words: 307,  unique words: 143
 25  total words: 410,  unique words: 192
 26  total words: 439,  unique words: 216
 27  total words: 363,  unique words: 146
Processed all songs from the file: ../Tekstowo/songs/tekstowo_rap_generacja_10-03-23.json
amiri          : 4
jeans          : 4
airforce       : 4
blizn          : 4
płyt           : 4
gęsto          : 4
bro            : 4
zmian          : 4
ciebie         : 4
był            : 4
złoto          : 4
pasję          : 4
kłaść          : 4
dedykacje      : 4
gdynie         : 4
obok           : 4
zapytaj        : 4
me             : 4
młodszy        : 4
zrobić         : 4
mogłem         : 4
moim           : 4
t              : 4
back           : 4
górę           : 4
pół            : 4
piękne         : 4
gorszy         : 4
aaaaaaa        : 4
czemu          : 4
se             : 4
good           : 4
influencerek   : 4
drugą          : 4
pozdrawiam     : 4
wam            : 4
zna            : 4
każdym         : 4
ruch           : 4
walky          : 4
lowkey         : 4
wysyłasz       : 4
emotki         : 4
słodki         : 4
s              : 4
łeb            : 4
wszystkim      : 4
tomb           : 4
stronę         : 4
plecach        : 4
zawieść        : 4
całkiem        : 4
samotność      : 4
słucha         : 4
inny           : 4
bywa           : 4
głucha         : 4
niemy          : 4
głos           : 4
marne          : 4
rodzić         : 4
jakiś          : 4
słucham        : 4
była           : 4
wszystkiego    : 4
godzin         : 4
wstaję         : 4
otwarty        : 4
champs         : 4
élysées        : 4
blach          : 4
ręku           : 4
ca             : 4
czyli          : 4
nosebleed      : 4
soulja         : 4
dostaje        : 4
dsquared       : 4
double         : 4
opinie         : 4
motylkowy      : 4
coraz          : 4
oooohhh        : 4
makarena       : 4
gdybym         : 4
zabiłbym       : 4
móc            : 4
powtórzyć      : 4
trafiać        : 4
brzuch         : 4
brzuszek       : 4
spotkania      : 4
biznesowe      : 4
sky            : 4
bar            : 4
panorama       : 4
kluczyk        : 4
recepcji       : 4
parkowania     : 4
środku         : 4
marynarki      : 4
złoty          : 4
haft           : 4
montana        : 4
wami           : 4
bić            : 4
przedziurawię  : 4
kolana         : 4
szyby          : 4
przyciemnione  : 4
okularach      : 4
cartier        : 4
błyszczy       : 4
felga          : 4
odbija         : 4
lustrze        : 4
lakier         : 4
jedynych       : 4
wartości       : 4
banknotach     : 4
wchodzi        : 4
woda           : 4
kariota        : 4
mariotach      : 4
swoich         : 4
gablotach      : 4
talerzy        : 4
