 1   total words: 465,  unique words: 283
 2   total words: 875,  unique words: 466
 3   total words: 627,  unique words: 352
 4   total words: 605,  unique words: 284
 5   total words: 410,  unique words: 250
 6   total words: 625,  unique words: 367
 7   total words: 570,  unique words: 249
 8   total words: 817,  unique words: 322
 9   total words: 496,  unique words: 344
 10  total words: 499,  unique words: 223
 11  total words: 1108,  unique words: 689
 12  total words: 545,  unique words: 283
 13  total words: 751,  unique words: 401
 14  total words: 436,  unique words: 243
 15  total words: 781,  unique words: 397
 16  total words: 385,  unique words: 243
 17  total words: 550,  unique words: 333
 18  total words: 894,  unique words: 380
 19  total words: 235,  unique words: 189
 20  total words: 569,  unique words: 255
 21  total words: 316,  unique words: 180
 22  total words: 547,  unique words: 340
 23  total words: 583,  unique words: 366
 24  total words: 492,  unique words: 303
 25  total words: 1000,  unique words: 499
 26  total words: 410,  unique words: 253
 27  total words: 259,  unique words: 151
 28  total words: 389,  unique words: 232
 29  total words: 575,  unique words: 283
 30  total words: 576,  unique words: 379
 31  total words: 576,  unique words: 307
 32  total words: 468,  unique words: 272
 33  total words: 281,  unique words: 212
 34  total words: 352,  unique words: 151
 35  total words: 632,  unique words: 276
 36  total words: 372,  unique words: 194
 37  total words: 456,  unique words: 302
 38  total words: 378,  unique words: 218
 39  total words: 326,  unique words: 163
 40  total words: 452,  unique words: 234
hip            : 7
zagrebe        : 7
dečki          : 7
pjesma         : 7
brzo           : 7
stranci        : 7
ovdje          : 7
tražim         : 7
punim          : 7
reperi         : 7
repčuga        : 7
pije           : 7
puši           : 7
ljeto          : 7
pljuga         : 7
pod            : 7
moru           : 7
skupa          : 7
zoru           : 7
devedesetih    : 7
dižu           : 7
volimo         : 7
cura           : 7
bia            : 7
hrvatski       : 7
koja           : 6
par            : 6
3              : 6
onaj           : 6
dvije          : 6
stalno         : 6
budala         : 6
fina           : 6
dalje          : 6
htio           : 6
poslije        : 6
l              : 6
vel            : 6
isti           : 6
vidim          : 6
god            : 6
gledali        : 6
klima          : 6
oči            : 6
stvarno        : 6
diže           : 6
njih           : 6
kurve          : 6
bolje          : 6
mc             : 6
dečko          : 6
fratello       : 6
fali           : 6
selo           : 6
one            : 6
pio            : 6
noćas          : 6
čaše           : 6
moram          : 6
kažem          : 6
plati          : 6
nemaš          : 6
ovaj           : 6
škola          : 6
razne          : 6
bijelog        : 6
problema       : 6
pravi          : 6
vraća          : 6
super          : 6
glava          : 6
kol            : 6
paše           : 6
nađi           : 6
navijati       : 6
prkosi         : 6
bad            : 6
oblak          : 6
trava          : 6
sami           : 6
blata          : 6
klošari        : 6
nama           : 6
mog            : 6
vrata          : 6
stoka          : 6
pjesme         : 6
flow           : 6
suze           : 6
ostaje         : 6
nadahnuće      : 6
versove        : 6
refrene        : 6
malom          : 6
vjetar         : 6
mišiću         : 6
spičit         : 6
ispit          : 6
tobom          : 6
oću            : 6
boje           : 6
koju           : 6
dima           : 6
jazavacu       : 6
kralju         : 6
zaradu         : 6
kuću           : 6
jazavci        : 6
zapalit        : 6
sabotira       : 6
jesti          : 6
furam          : 5
jos            : 5
nazovi         : 5
nikom          : 5
nekad          : 5
bum            : 5
cijeli         : 5
sat            : 5
2              : 5
naš            : 5
radim          : 5
woah           : 5
poslu          : 5
radit          : 5
slušat         : 5
pizdarije      : 5
tata           : 5
nismo          : 5
znao           : 5
piješ          : 5
njom           : 5
svog           : 5
ju             : 5
pazi           : 5
vremena        : 5
fura           : 5
jučer          : 5
gori           : 5
pričam         : 5
dio            : 5
kvart          : 5
loše           : 5
guba           : 5
nastupe        : 5
godina         : 5
tad            : 5
mic            : 5
rap            : 5
parku          : 5
veći           : 5
ljubim         : 5
lijepo         : 5
pijem          : 5
noć            : 5
laske          : 5
mikrofon       : 5
protiv         : 5
auto           : 5
svijet         : 5
dolazi         : 5
vaše           : 5
vuk            : 5
poznaš         : 5
dobra          : 5
ponekad        : 5
hop            : 5
znat           : 5
molim          : 5
kući           : 5
novce          : 5
blue           : 5
nakon          : 5
ulice          : 5
plave          : 5
ime            : 5
prve           : 5
glavu          : 5
manje          : 5
stil           : 5
nestaje        : 5
beat           : 5
pokaz          : 5
zvuče          : 5
prodaju        : 5
tišina         : 5
betonu         : 5
škvadru        : 5
vlasti         : 5
ustali         : 5
dobre          : 5
nova           : 5
dani           : 5
pljugu         : 5
ljude          : 5
zabranjen      : 5
čuju           : 5
muče           : 5
sjetite        : 5
igri           : 5
old            : 5
school         : 5
gangsta        : 5
njeno          : 5
dash           : 5
restoranu      : 5
osim           : 5
hrana          : 5
drugom         : 5
božo           : 5
miš            : 5
soba           : 5
bijelo         : 5
rakije         : 5
vise           : 5
gospodin       : 5
čarobnu        : 5
zelenka        : 5
sviram         : 5
dosta          : 5
cili           : 5
reka           : 5
saznao         : 5
incident       : 5
često          : 5
teško          : 5
tandzarola     : 5
ilegalno       : 5
glasi          : 5
kupit          : 4
imas           : 4
trebe          : 4
nasred         : 4
stave          : 4
odma           : 4
lud            : 4
veli           : 4
štima          : 4
briješ         : 4
svijetu        : 4
starije        : 4
gotova         : 4
nemreš         : 4
tebi           : 4
oš             : 4
sjećam         : 4
zarada         : 4
kupi           : 4
droge          : 4
sva            : 4
gospar         : 4
čujem          : 4
budemo         : 4
vrati          : 4
školi          : 4
brat           : 4
njega          : 4
lovu           : 4
glavom         : 4
prosto         : 4
vidio          : 4
misliš         : 4
druge          : 4
prste          : 4
dižem          : 4
doba           : 4
kažu           : 4
bake           : 4
ono            : 4
istog          : 4
tvoje          : 4
dijete         : 4
došli          : 4
pit            : 4
siti           : 4
ponovo         : 4
publiku        : 4
bini           : 4
wc             : 4
slušam         : 4
slova          : 4
reći           : 4
doći           : 4
čelo           : 4
makar          : 4
takav          : 4
bih            : 4
luda           : 4
lako           : 4
cijelu         : 4
fini           : 4
piše           : 4
auta           : 4
play           : 4
ekipom         : 4
mnom           : 4
odem           : 4
previše        : 4
hustler        : 4
postoji        : 4
repam          : 4
živim          : 4
pušim          : 4
lagano         : 4
glume          : 4
lica           : 4
grade          : 4
doznaš         : 4
drolja         : 4
pedera         : 4
glavi          : 4
brige          : 4
ulici          : 4
jede           : 4
jela           : 4
tramvaj        : 4
društvu        : 4
repaju         : 4
mada           : 4
misli          : 4
uši            : 4
znači          : 4
kuje           : 4
mame           : 4
puta           : 4
prijatelja     : 4
ostat          : 4
zvala          : 4
ode            : 4
briju          : 4
lovca          : 4
duplo          : 4
party          : 4
papa           : 4
baka           : 4
medu           : 4
viče           : 4
medo           : 4
jebat          : 4
vuku           : 4
more           : 4
stani          : 4
papi           : 4
iman           : 4
krek           : 4
pravac         : 4
prodajem       : 4
drogu          : 4
govno          : 4
pičko          : 4
kmice          : 4
triba          : 4
cile           : 4
boga           : 4
moga           : 4
trči           : 4
20             : 4
deka           : 4
ujutro         : 4
kila           : 4
umisto         : 4
star           : 4
broj           : 4
rokam          : 4
bili           : 4
kraja          : 4
gladni         : 4
